time,F1,F2,F3,F4,F5,F6,F7,Nc1,Nc2,Nc3,Nc4,Nc5,Nh1,Nh2,Nh3,Nh4,Nh5,No1,No2,No3,No4,No5
0,12.623828312580013,4.757802631228142,17.381630943808155,8.687674467829194,8.693956475978961,8.6054071857638,0.08854929021516016,554.9489345806259,5.884958243581119e-07,0.2260383454781619,554.3445452444391,1.4745156811010771e-08,0.6043899099374325,5312.17946975694,4371.626790455581,5310.481810853035,2.3020488134250408,4.172573384553818e-10,340.25212293575464,2185.8133992006065,339.28832003327756,0.4819014514471514
1,0.0013207177892214609,20.001708906606723,20.003029624395943,14.28573076431146,5.717298860084483,0.001731140693541954,5.7155677193909415,551.5771665782758,2.521344609156102e-07,12.974856005654061,550.9725634821294,1.9028858356385115e-08,0.6046033292519574,5313.62045646737,4659.865377937754,5311.950372702837,2.2746870924788323,1.3067656310507502e-09,329.2909084820187,2329.9326751596964,328.3255419572383,0.4826832630435969
2,12.603772187332646,6.693334790715803,19.29710697804844,1.5005059981474983e-06,19.29710547754244,3.2849695473746975e-05,19.29707262784697,566.6817157149262,6.882755981054304e-07,0.0008190846752038051,566.0767230799141,2.4134855629086126e-08,0.6049932991527839,5314.0404585846745,4912.075051995353,5312.375076314245,2.2703755685629323,1.0192067681127613e-09,412.31594938889833,2456.037524893967,411.3506039928728,0.48267269852236544
3,0.0013413172686196114,20.013729169986675,20.015070487255294,14.488250335160338,5.526820152094956,0.0023685328300287454,5.524451619264927,559.1739783575241,1.0961237413618139e-07,0.19615259083599138,558.5688295474469,2.2198257089036655e-09,0.6051489174697943,5315.120464553915,4659.865366936269,5313.4569581598735,2.268655311054048,4.5675346559644223e-10,393.96213761998507,2329.932695200202,392.9968006536886,0.4826684833766163
4,0.0004485124232053133,19.45948490756772,19.45993341999093,14.169701761306717,5.290231658684211,0.0019155413302401648,5.28831611735397,572.4931016027182,6.859535324917798e-07,3.173201010902561,571.8887172246632,2.8929029582245677e-08,0.604385035079589,5313.489349227045,4539.766361582787,5311.821259349769,2.2724749062034513,6.152001286037535e-09,417.85892738831404,2269.883167762533,416.89325776250934,0.48283481597834893
5,11.594769293812819,7.5897996500015195,19.184568943814337,18.582676561735347,0.6018923820789903,0.30155674174634345,0.3003356403326469,566.9819440892369,7.538475769136088e-07,0.3983299510907277,566.3776446743509,1.9081834918236272e-08,0.6043001496516915,5314.44736920229,4719.915508889538,5312.778769927375,2.2728994212933866,3.273617814586662e-09,419.9537624249038,2359.9577237732483,418.98805582365554,0.482853302260944
6,0.006773347359021622,19.88272700990862,19.889500357267643,14.040286520638151,5.849213836629491,0.004928664146358812,5.844285172483132,574.8710203388052,2.243036099105592e-07,0.05607957531276851,574.2645228066701,5.76151900672314e-09,0.6064977506771473,5312.5808925303545,4659.865362633721,5310.91550245085,2.271887829345365,8.363444226895065e-10,412.06751326026955,2329.9326769951567,411.1033925165231,0.48206037229138066
7,0.002723867431180725,20.366507058369596,20.369230925800778,13.164700913132013,7.204530012668764,0.025891187112401445,7.178638825556362,567.3233322982605,5.785208444300144e-07,0.6401229526289072,566.7190941321504,1.528605697771973e-08,0.6042387293448818,5312.355668138988,4767.955436441454,5310.66371601951,2.296190846266398,2.5568846990540183e-09,398.1481064125487,2383.9777237197504,397.1838212523119,0.4821425813968603
8,0.8518250475614431,17.910572489534417,18.76239753709586,18.033343070110398,0.7290544669855071,0.36456383940266446,0.3644906275828427,559.6138120832067,3.498413383296133e-07,0.4396771275308069,559.0142665029163,9.627904258118005e-09,0.5995459205040027,5313.036355972971,4407.656341567934,5311.340682739227,2.2952191519586242,2.2915399857846523e-09,330.77132409928885,2203.8281675997036,329.8034562216209,0.48393393997975837
9,0.08416088242154811,17.882285277455907,17.966446159877453,16.830755933218704,1.1356902266587476,0.5438765757373434,0.5918136509214041,560.8616096544723,1.7797854007914703e-07,0.2237851112741001,560.2608812627842,4.757378486108391e-09,0.6007285649092631,5313.510967661759,4155.447313470842,5311.817351084044,2.2943451416032996,1.0211723195272072e-09,361.9352000681227,2077.7234589091863,360.9681648170837,0.4835176260300885
10,0.12458034663233389,17.86577900686328,17.990359353495613,17.65221790293223,0.3381414505633863,0.14241001056142372,0.19573144000196255,559.4362616610297,7.726999757343178e-07,0.07268603999010338,558.8331700382556,1.2110684876383102e-09,0.6030923942631016,5312.129055416595,4167.456934468658,5310.43954961747,2.2925981890243925,4.364293595117343e-09,379.91865098769733,2083.7285269701683,378.95327997264235,0.4826855097096651
11,2.967944597049053e-05,20.68709247644028,20.68712215588625,0.0005544404841305727,20.68656771540212,0.00011605787143734983,20.686451657530682,554.3311042494196,7.10115284140874e-07,0.2625140021066422,553.7250656129572,1.9674232167486736e-08,0.6060393269034313,5313.70285080192,4924.084687071977,5312.021907883661,2.2869822415471956,3.615942992703746e-09,364.51941705746447,2462.042318194145,363.55590407324905,0.48175649391567055
12,0.04141407876519509,18.99416482453143,19.035578903296624,18.99725647818118,0.03832242511544547,0.03703241455567137,0.001290010559774105,569.2331943413124,3.053740567225246e-07,3.383300037214826,568.6318441289134,8.523381614346469e-09,0.6013505092495447,5314.524009014013,4419.666655354979,5312.830774478356,2.2945850433469226,1.5595628976766745e-09,363.04516100479725,2209.833363904688,362.07860717560334,0.4832769153767438
13,1.504377987942892,15.43711969571601,16.941497683658902,4.477478183681188,12.464019499977715,12.463412084765547,0.0006074152121687753,579.5616397592895,1.0362385278029633e-07,11.914966553535788,578.9603473386775,5.432189126831462e-09,0.6012925188036833,5315.000444500808,4023.3373353776624,5313.305699236993,2.296037781668207,9.50061029921456e-10,415.2738226997378,2011.668663861061,414.30731686183793,0.4832529194249507
14,0.013050492198183496,17.439801421844155,17.452851914042338,17.256792304463946,0.19605960957839072,0.09672468300380424,0.09933492657458647,557.4831590641882,5.552136203319298e-07,1.160493036828589,556.882180377678,1.499524066434156e-08,0.6009792267286095,5313.4206353807585,4035.3476534204365,5311.723951854765,2.2976627502903892,2.431474636316156e-09,351.46501145940783,2017.67381371699,350.49837287842024,0.48331929170953686
15,2.442773363948482,16.62666872747369,19.069442091422175,10.878582203432126,8.19085988799005,8.19080018725863,5.9700731419198246e-05,572.7041548078683,5.556854557325384e-07,3.285208803280171,572.1033341774821,1.6277977768435898e-08,0.600821169793667,5310.906541712288,4419.666677853575,5309.209200651303,2.2981622283086733,2.4705102834984156e-09,423.5267854469657,2209.833338536119,422.56005971462065,0.4833628674077695
16,6.886162035053007,10.914109829608986,17.80027186466189,17.297701210657813,0.5025706540040794,0.2777080292274167,0.22486262477666266,571.3487066497611,2.6126402057487107e-07,2.0779690653381113,570.7479134732712,6.653026941631091e-09,0.6007934311008903,5313.290066173899,4263.536713292214,5311.592673842882,2.298185761007491,1.110225612144782e-09,423.15706844997214,2131.7683533100862,422.19032337250616,0.48337253928808843
17,0.013141922111822486,18.197818964786432,18.210960886898253,12.001872052611605,6.2090888342866455,0.008795185166773242,6.200293649119877,561.6421638940321,6.80134612246888e-07,3.936831923215793,561.0416207991008,1.8234074573107482e-08,0.6005437568320379,5313.576318110538,4227.50713539277,5311.878464384408,2.2983974819484994,1.0123761226552378e-09,361.31922526915696,2113.7535689731176,360.3523061480594,0.48345956105496696
